,Unnamed: 0,name,latitude,longitude,timestamp,free_bikes,empty_slots,renting,returning,ebikes,station_id,Bar,Bar/Restaurant,Other,Park,Restaurant
128,128,Taddle Creek Park,43.66986,-79.398443,2025-07-29,0,11,1,1,0,128,1,1,0,3,5
129,129,Bloor St E / Huntley St - SMART,43.671535,-79.379173,2025-07-29,2,16,1,1,1,129,2,0,1,1,6
130,130,Bay Mills Blvd / Birchmount Ave,43.78342986112393,-79.29955890113074,2025-07-29,7,7,1,1,0,130,0,0,1,0,9
131,131,Gerrard St E / Leslie St,43.669813,-79.3335,2025-07-29,20,1,1,1,0,131,1,1,0,1,7
132,132,Eglinton Ave W / Prospect Cemetery,43.69415,-79.45782580000001,2025-07-29,0,19,1,1,0,132,0,0,0,0,10
133,133,Maud St / Adelaide St W - SMART,43.6460145694434,-79.39960497726345,2025-07-29,5,9,1,1,0,133,0,1,1,1,7
134,134,Simcoe St / Michael Sweet Ave,43.652327224103,-79.3882538196087,2025-07-29,1,17,1,1,0,134,2,1,0,1,6
135,135,High Park - West Rd,43.651922,-79.465693,2025-07-29,3,17,1,1,1,135,1,0,3,5,1
136,136,Morningside Park (Highland Creek Trail),43.779353,-79.193023,2025-07-29,1,18,1,1,0,136,0,0,0,1,9
137,137,Ellesmere Rd / Markham Rd,43.77682938751077,-79.2305003612381,2025-07-29,1,11,1,1,0,137,0,0,0,0,10
138,138,King St W / Cowan Ave - SMART,43.637922,-79.431734,2025-07-29,6,8,1,1,2,138,0,0,1,1,8
139,139,Trethewey Dr / Black Creek Dr,43.69549840027979,-79.48809394482672,2025-07-29,1,12,1,1,0,139,0,0,2,1,7
140,140,Adelaide St W / Bay St,43.650152,-79.379856,2025-07-29,0,22,1,1,0,140,4,0,0,2,4
141,141,Pharmacy Ave / Eglinton Ave E ,43.72534466992445,-79.2976874085289,2025-07-29,7,8,1,1,3,141,0,0,0,0,10
142,142,Bathurst St/Queens Quay(Billy Bishop Airport),43.635492,-79.398253,2025-07-29,10,20,1,1,0,142,1,1,0,7,1
